Postal_Code,City,State,Country,Region
42420.0,Henderson,Kentucky,United States,South
90036.0,Los Angeles,California,United States,West
33311.0,Fort Lauderdale,Florida,United States,South
90032.0,Los Angeles,California,United States,West
28027.0,Concord,North Carolina,United States,South
98103.0,Seattle,Washington,United States,West
76106.0,Fort Worth,Texas,United States,Central
53711.0,Madison,Wisconsin,United States,Central
84084.0,West Jordan,Utah,United States,West
94109.0,San Francisco,California,United States,West
68025.0,Fremont,Nebraska,United States,Central
19140.0,Philadelphia,Pennsylvania,United States,East
84057.0,Orem,Utah,United States,West
90049.0,Los Angeles,California,United States,West
77095.0,Houston,Texas,United States,Central
75080.0,Richardson,Texas,United States,Central
77041.0,Houston,Texas,United States,Central
60540.0,Naperville,Illinois,United States,Central
32935.0,Melbourne,Florida,United States,South
55122.0,Eagan,Minnesota,United States,Central
48185.0,Westland,Michigan,United States,Central
19901.0,Dover,Delaware,United States,East
47150.0,New Albany,Indiana,United States,Central
10024.0,New York City,New York,United States,East
12180.0,Troy,New York,United States,East
90004.0,Los Angeles,California,United States,West
60610.0,Chicago,Illinois,United States,Central
85234.0,Gilbert,Arizona,United States,West
22153.0,Springfield,Virginia,United States,South
10009.0,New York City,New York,United States,East
49201.0,Jackson,Michigan,United States,Central
38109.0,Memphis,Tennessee,United States,South
77070.0,Houston,Texas,United States,Central
35601.0,Decatur,Alabama,United States,South
94122.0,San Francisco,California,United States,West
27707.0,Durham,North Carolina,United States,South
60623.0,Chicago,Illinois,United States,Central
29203.0,Columbia,South Carolina,United States,South
55901.0,Rochester,Minnesota,United States,Central
55407.0,Minneapolis,Minnesota,United States,Central
97206.0,Portland,Oregon,United States,West
55106.0,Saint Paul,Minnesota,United States,Central
80013.0,Aurora,Colorado,United States,West
28205.0,Charlotte,North Carolina,United States,South
60462.0,Orland Park,Illinois,United States,Central
10035.0,New York City,New York,United States,East
50322.0,Urbandale,Iowa,United States,Central
43229.0,Columbus,Ohio,United States,East
37620.0,Bristol,Tennessee,United States,South
19805.0,Wilmington,Delaware,United States,East
61701.0,Bloomington,Illinois,United States,Central
85023.0,Phoenix,Arizona,United States,West
95661.0,Roseville,California,United States,West
64055.0,Independence,Missouri,United States,Central
91104.0,Pasadena,California,United States,West
43055.0,Newark,Ohio,United States,East
53132.0,Franklin,Wisconsin,United States,Central
85254.0,Scottsdale,Arizona,United States,West
95123.0,San Jose,California,United States,West
98105.0,Seattle,Washington,United States,West
98115.0,Seattle,Washington,United States,West
73034.0,Edmond,Oklahoma,United States,Central
90045.0,Los Angeles,California,United States,West
19134.0,Philadelphia,Pennsylvania,United States,East
88220.0,Carlsbad,New Mexico,United States,West
78207.0,San Antonio,Texas,United States,Central
77036.0,Houston,Texas,United States,Central
62521.0,Decatur,Illinois,United States,Central
71203.0,Monroe,Louisiana,United States,South
6824.0,Fairfield,Connecticut,United States,East
75051.0,Grand Prairie,Texas,United States,Central
92374.0,Redlands,California,United States,West
45011.0,Hamilton,Ohio,United States,East
7090.0,Westfield,New Jersey,United States,East
19120.0,Philadelphia,Pennsylvania,United States,East
44312.0,Akron,Ohio,United States,East
80219.0,Denver,Colorado,United States,West
75220.0,Dallas,Texas,United States,Central
37064.0,Franklin,Tennessee,United States,South
90604.0,Whittier,California,United States,West
48601.0,Saginaw,Michigan,United States,Central
44256.0,Medina,Ohio,United States,East
43017.0,Dublin,Ohio,United States,East
48227.0,Detroit,Michigan,United States,Central
38401.0,Columbia,Tennessee,United States,South
33614.0,Tampa,Florida,United States,South
95051.0,Santa Clara,California,United States,West
55044.0,Lakeville,Minnesota,United States,Central
92037.0,San Diego,California,United States,West
77506.0,Pasadena,Texas,United States,Central
94513.0,Brentwood,California,United States,West
27514.0,Chapel Hill,North Carolina,United States,South
7960.0,Morristown,New Jersey,United States,East
45231.0,Cincinnati,Ohio,United States,East
94110.0,San Francisco,California,United States,West
90301.0,Inglewood,California,United States,West
33319.0,Tamarac,Florida,United States,South
80906.0,Colorado Springs,Colorado,United States,West
7109.0,Belleville,New Jersey,United States,East
48180.0,Taylor,Michigan,United States,Central
8701.0,Lakewood,New Jersey,United States,East
22204.0,Arlington,Virginia,United States,South
80004.0,Arvada,Colorado,United States,West
7601.0,Hackensack,New Jersey,United States,East
33710.0,Saint Petersburg,Florida,United States,South
19143.0,Philadelphia,Pennsylvania,United States,East
90805.0,Long Beach,California,United States,West
92345.0,Hesperia,California,United States,West
37130.0,Murfreesboro,Tennessee,United States,South
84041.0,Layton,Utah,United States,West
78745.0,Austin,Texas,United States,Central
1852.0,Lowell,Massachusetts,United States,East
31907.0,Columbus,Georgia,United States,South
6040.0,Manchester,Connecticut,United States,East
78550.0,Harlingen,Texas,United States,Central
85705.0,Tucson,Arizona,United States,West
62301.0,Quincy,Illinois,United States,Central
2038.0,Franklin,Massachusetts,United States,East
33024.0,Pembroke Pines,Florida,United States,South
98198.0,Des Moines,Washington,United States,West
61604.0,Peoria,Illinois,United States,Central
89115.0,Las Vegas,Nevada,United States,West
2886.0,Warwick,Rhode Island,United States,East
33180.0,Miami,Florida,United States,South
28403.0,Wilmington,North Carolina,United States,South
92646.0,Huntington Beach,California,United States,West
40475.0,Richmond,Kentucky,United States,South
80027.0,Louisville,Colorado,United States,West
1841.0,Lawrence,Massachusetts,United States,East
39212.0,Jackson,Mississippi,United States,South
48187.0,Canton,Michigan,United States,Central
10801.0,New Rochelle,New York,United States,East
28052.0,Gastonia,North Carolina,United States,South
32216.0,Jacksonville,Florida,United States,South
47201.0,Columbus,Indiana,United States,Central
13021.0,Auburn,New York,United States,East
73071.0,Norman,Oklahoma,United States,Central
94521.0,Concord,California,United States,West
60068.0,Park Ridge,Illinois,United States,Central
79109.0,Amarillo,Texas,United States,Central
11757.0,Lindenhurst,New York,United States,East
90008.0,Los Angeles,California,United States,West
92024.0,San Diego,California,United States,West
77340.0,Huntsville,Texas,United States,Central
14609.0,Rochester,New York,United States,East
72701.0,Fayetteville,Arkansas,United States,South
92627.0,Costa Mesa,California,United States,West
80134.0,Parker,Colorado,United States,West
30318.0,Atlanta,Georgia,United States,South
64118.0,Gladstone,Missouri,United States,Central
59405.0,Great Falls,Montana,United States,West
48234.0,Detroit,Michigan,United States,Central
33801.0,Lakeland,Florida,United States,South
36116.0,Montgomery,Alabama,United States,South
85204.0,Mesa,Arizona,United States,West
60653.0,Chicago,Illinois,United States,Central
54302.0,Green Bay,Wisconsin,United States,Central
45503.0,Springfield,Ohio,United States,East
92804.0,Anaheim,California,United States,West
98270.0,Marysville,Washington,United States,West
97301.0,Salem,Oregon,United States,West
78041.0,Laredo,Texas,United States,Central
75217.0,Dallas,Texas,United States,Central
43123.0,Grove City,Ohio,United States,East
10011.0,New York City,New York,United States,East
48126.0,Dearborn,Michigan,United States,Central
31088.0,Warner Robins,Georgia,United States,South
94591.0,Vallejo,California,United States,West
92691.0,Mission Viejo,California,United States,West
48307.0,Rochester Hills,Michigan,United States,Central
7060.0,Plainfield,New Jersey,United States,East
85635.0,Sierra Vista,Arizona,United States,West
98661.0,Vancouver,Washington,United States,West
60505.0,Aurora,Illinois,United States,Central
76017.0,Arlington,Texas,United States,Central
40214.0,Louisville,Kentucky,United States,South
75081.0,Dallas,Texas,United States,Central
44105.0,Cleveland,Ohio,United States,East
75701.0,Tyler,Texas,United States,Central
27217.0,Burlington,North Carolina,United States,South
22980.0,Waynesboro,Virginia,United States,South
19013.0,Chester,Pennsylvania,United States,East
27511.0,Cary,North Carolina,United States,South
32137.0,Palm Coast,Florida,United States,South
10550.0,Mount Vernon,New York,United States,East
48205.0,Detroit,Michigan,United States,Central
33012.0,Hialeah,Florida,United States,South
11572.0,Oceanside,New York,United States,East
92105.0,San Diego,California,United States,West
60201.0,Evanston,Illinois,United States,Central
48183.0,Trenton,Michigan,United States,Central
55016.0,Cottage Grove,Minnesota,United States,Central
71111.0,Bossier City,Louisiana,United States,South
50315.0,Des Moines,Iowa,United States,Central
93534.0,Lancaster,California,United States,West
23223.0,Richmond,Virginia,United States,South
28806.0,Asheville,North Carolina,United States,South
92530.0,Lake Elsinore,California,United States,West
68104.0,Omaha,Nebraska,United States,Central
98026.0,Edmonds,Washington,United States,West
92704.0,Santa Ana,California,United States,West
53209.0,Milwaukee,Wisconsin,United States,Central
41042.0,Florence,Kentucky,United States,South
44052.0,Lorain,Ohio,United States,East
7036.0,Linden,New Jersey,United States,East
93905.0,Salinas,California,United States,West
8901.0,New Brunswick,New Jersey,United States,East
17602.0,Lancaster,Pennsylvania,United States,East
3301.0,Concord,New Hampshire,United States,East
21044.0,Columbia,Maryland,United States,East
75043.0,Garland,Texas,United States,Central
6360.0,Norwich,Connecticut,United States,East
22304.0,Alexandria,Virginia,United States,South
43615.0,Toledo,Ohio,United States,East
87401.0,Farmington,New Mexico,United States,West
92503.0,Riverside,California,United States,West
90503.0,Torrance,California,United States,West
78664.0,Round Rock,Texas,United States,Central
92054.0,Oceanside,California,United States,West
33433.0,Boca Raton,Florida,United States,South
23464.0,Virginia Beach,Virginia,United States,South
92563.0,Murrieta,California,United States,West
28540.0,Jacksonville,North Carolina,United States,South
52601.0,Burlington,Iowa,United States,Central
98502.0,Olympia,Washington,United States,West
20016.0,Washington,District of Columbia,United States,East
65109.0,Jefferson City,Missouri,United States,Central
63376.0,Saint Peters,Missouri,United States,Central
61107.0,Rockford,Illinois,United States,Central
33142.0,Miami,Florida,United States,South
78521.0,Brownsville,Texas,United States,Central
10701.0,Yonkers,New York,United States,East
94601.0,Oakland,California,United States,West
28110.0,Monroe,North Carolina,United States,South
20735.0,Clinton,Maryland,United States,East
92024.0,Encinitas,California,United States,West
30076.0,Roswell,Georgia,United States,South
72401.0,Jonesboro,Arkansas,United States,South
47374.0,Richmond,Indiana,United States,Central
94509.0,Antioch,California,United States,West
33030.0,Homestead,Florida,United States,South
46350.0,La Porte,Indiana,United States,Central
48911.0,Lansing,Michigan,United States,Central
44221.0,Cuyahoga Falls,Ohio,United States,East
89502.0,Reno,Nevada,United States,West
22801.0,Harrisonburg,Virginia,United States,South
92025.0,Escondido,California,United States,West
48073.0,Royal Oak,Michigan,United States,Central
20852.0,Rockville,Maryland,United States,East
33065.0,Coral Springs,Florida,United States,South
14215.0,Buffalo,New York,United States,East
33437.0,Boynton Beach,Florida,United States,South
39503.0,Gulfport,Mississippi,United States,South
93727.0,Fresno,California,United States,West
27834.0,Greenville,North Carolina,United States,South
11561.0,Long Beach,New York,United States,East
35630.0,Florence,Alabama,United States,South
31204.0,Macon,Georgia,United States,South
52402.0,Cedar Rapids,Iowa,United States,Central
2908.0,Providence,Rhode Island,United States,East
81001.0,Pueblo,Colorado,United States,West
94533.0,Fairfield,California,United States,West
32725.0,Deltona,Florida,United States,South
42071.0,Murray,Kentucky,United States,South
6457.0,Middletown,Connecticut,United States,East
11520.0,Freeport,New York,United States,East
90660.0,Pico Rivera,California,United States,West
84604.0,Provo,Utah,United States,West
84062.0,Pleasant Grove,Utah,United States,West
30080.0,Smyrna,Georgia,United States,South
24153.0,Salem,Virginia,United States,South
44134.0,Parma,Ohio,United States,East
36608.0,Mobile,Alabama,United States,South
2740.0,New Bedford,Massachusetts,United States,East
75061.0,Irving,Texas,United States,Central
8360.0,Vineland,New Jersey,United States,East
85301.0,Glendale,Arizona,United States,West
14304.0,Niagara Falls,New York,United States,East
27360.0,Thomasville,North Carolina,United States,South
92683.0,Westminster,California,United States,West
38301.0,Jackson,Tennessee,United States,South
75019.0,Coppell,Texas,United States,Central
91767.0,Pomona,California,United States,West
89031.0,North Las Vegas,Nevada,United States,West
18103.0,Allentown,Pennsylvania,United States,East
19711.0,Newark,Delaware,United States,East
85281.0,Tempe,Arizona,United States,West
92677.0,Laguna Niguel,California,United States,West
8302.0,Bridgeton,New Jersey,United States,East
2149.0,Everett,Massachusetts,United States,East
13601.0,Watertown,New York,United States,East
54915.0,Appleton,Wisconsin,United States,Central
98006.0,Bellevue,Washington,United States,West
75002.0,Allen,Texas,United States,Central
79907.0,El Paso,Texas,United States,Central
76051.0,Grapevine,Texas,United States,Central
75007.0,Carrollton,Texas,United States,Central
37167.0,Smyrna,Tennessee,United States,South
98031.0,Kent,Washington,United States,West
70506.0,Lafayette,Louisiana,United States,South
97224.0,Tigard,Oregon,United States,West
60076.0,Skokie,Illinois,United States,Central
75023.0,Plano,Texas,United States,Central
23434.0,Suffolk,Virginia,United States,South
46203.0,Indianapolis,Indiana,United States,Central
7002.0,Bayonne,New Jersey,United States,East
28314.0,Fayetteville,North Carolina,United States,South
27405.0,Greensboro,North Carolina,United States,South
21215.0,Baltimore,Maryland,United States,East
53142.0,Kenosha,Wisconsin,United States,Central
66062.0,Olathe,Kansas,United States,Central
98002.0,Auburn,Washington,United States,West
74133.0,Tulsa,Oklahoma,United States,Central
97756.0,Redmond,Oregon,United States,West
27604.0,Raleigh,North Carolina,United States,South
74403.0,Muskogee,Oklahoma,United States,Central
6450.0,Meriden,Connecticut,United States,East
42104.0,Bowling Green,Kentucky,United States,South
46614.0,South Bend,Indiana,United States,Central
6010.0,Bristol,Connecticut,United States,East
89015.0,Henderson,Nevada,United States,West
99207.0,Spokane,Washington,United States,West
76248.0,Keller,Texas,United States,Central
45014.0,Fairfield,Ohio,United States,East
32127.0,Port Orange,Florida,United States,South
97504.0,Medford,Oregon,United States,West
22901.0,Charlottesville,Virginia,United States,South
59801.0,Missoula,Montana,United States,West
33178.0,Miami,Florida,United States,South
29501.0,Florence,South Carolina,United States,South
97477.0,Springfield,Oregon,United States,West
32712.0,Apopka,Florida,United States,South
19601.0,Reading,Pennsylvania,United States,East
80020.0,Broomfield,Colorado,United States,West
65807.0,Springfield,Missouri,United States,Central
7501.0,Paterson,New Jersey,United States,East
73120.0,Oklahoma City,Oklahoma,United States,Central
23320.0,Chesapeake,Virginia,United States,South
79424.0,Lubbock,Texas,United States,Central
65203.0,Columbia,Missouri,United States,Central
37604.0,Johnson City,Tennessee,United States,South
