Order_Detail_ID,Order_ID,Product_ID,Sales
1,CA-2017-152156,FUR-BO-10001798,261.96
2,CA-2017-152156,FUR-CH-10000454,731.94
3,CA-2017-138688,OFF-LA-10000240,14.62
4,US-2016-108966,FUR-TA-10000577,957.5775
5,US-2016-108966,OFF-ST-10000760,22.368
6,CA-2015-115812,FUR-FU-10001487,48.86
7,CA-2015-115812,OFF-AR-10002833,7.28
8,CA-2015-115812,TEC-PH-10002275,907.152
9,CA-2015-115812,OFF-BI-10003910,18.504
10,CA-2015-115812,OFF-AP-10002892,114.9
11,CA-2015-115812,FUR-TA-10001539,1706.184
12,CA-2015-115812,TEC-PH-10002033,911.424
13,CA-2018-114412,OFF-PA-10002365,15.552
14,CA-2017-161389,OFF-BI-10003656,407.976
15,US-2016-118983,OFF-AP-10002311,68.81
16,US-2016-118983,OFF-BI-10000756,2.544
17,CA-2015-105893,OFF-ST-10004186,665.88
18,CA-2015-167164,OFF-ST-10000107,55.5
19,CA-2015-143336,OFF-AR-10003056,8.56
20,CA-2015-143336,TEC-PH-10001949,213.48
21,CA-2015-143336,OFF-BI-10002215,22.72
22,CA-2017-137330,OFF-AR-10000246,19.46
23,CA-2017-137330,OFF-AP-10001492,60.34
24,US-2018-156909,FUR-CH-10002774,71.372
25,CA-2016-106320,FUR-TA-10000577,1044.63
26,CA-2017-121755,OFF-BI-10001634,11.648
27,CA-2017-121755,TEC-AC-10003027,90.57
28,US-2016-150630,FUR-BO-10004834,3083.43
29,US-2016-150630,OFF-BI-10000474,9.618
30,US-2016-150630,FUR-FU-10004848,124.2
31,US-2016-150630,OFF-EN-10001509,3.264
32,US-2016-150630,OFF-AR-10004042,86.304
33,US-2016-150630,OFF-BI-10001525,6.858
34,US-2016-150630,OFF-AR-10001683,15.76
35,CA-2018-107727,OFF-PA-10000249,29.472
36,CA-2017-117590,TEC-PH-10004977,1097.544
37,CA-2017-117590,FUR-FU-10003664,190.92
38,CA-2016-117415,OFF-EN-10002986,113.328
39,CA-2016-117415,FUR-BO-10002545,532.3992
40,CA-2016-117415,FUR-CH-10004218,212.058
41,CA-2016-117415,TEC-PH-10000486,371.168
42,CA-2018-120999,TEC-PH-10004093,147.168
43,CA-2017-101343,OFF-ST-10003479,77.88
44,CA-2018-139619,OFF-ST-10003282,95.616
45,CA-2017-118255,TEC-AC-10000171,45.98
46,CA-2017-118255,OFF-BI-10003291,17.46
47,CA-2015-146703,OFF-ST-10001713,211.96
48,CA-2017-169194,TEC-AC-10002167,45.0
49,CA-2017-169194,TEC-PH-10003988,21.8
50,CA-2016-115742,OFF-BI-10004410,38.22
51,CA-2016-115742,OFF-LA-10002762,75.18
52,CA-2016-115742,FUR-FU-10001706,6.16
53,CA-2016-115742,FUR-CH-10003061,89.99
54,CA-2017-105816,OFF-FA-10000304,15.26
55,CA-2017-105816,TEC-PH-10002447,1029.95
56,CA-2017-111682,OFF-ST-10000604,208.56
57,CA-2017-111682,OFF-PA-10001569,32.4
58,CA-2017-111682,FUR-CH-10003968,319.41
59,CA-2017-111682,OFF-PA-10000587,14.56
60,CA-2017-111682,TEC-AC-10002167,30.0
61,CA-2017-111682,OFF-BI-10001460,48.48
62,CA-2017-111682,OFF-AR-10001868,1.68
63,CA-2016-135545,TEC-AC-10004633,13.98
64,CA-2016-135545,OFF-BI-10001078,25.824
65,CA-2016-135545,OFF-PA-10003892,146.73
66,CA-2016-135545,FUR-FU-10000397,79.76
67,US-2016-164175,FUR-CH-10001146,213.115
68,CA-2015-106376,OFF-AR-10002671,1113.024
69,CA-2015-106376,TEC-PH-10002726,167.968
70,CA-2017-119823,OFF-PA-10000482,75.88
71,CA-2017-106075,OFF-BI-10004654,4.616
72,CA-2018-114440,OFF-PA-10004675,19.05
73,US-2016-134026,FUR-CH-10000513,831.936
74,US-2016-134026,FUR-FU-10003708,97.04
75,US-2016-134026,OFF-ST-10004123,72.784
76,US-2018-118038,OFF-BI-10004182,1.248
77,US-2018-118038,FUR-FU-10000260,9.708
78,US-2018-118038,OFF-ST-10000615,27.24
79,US-2015-147606,FUR-FU-10003194,19.3
80,CA-2017-127208,OFF-AP-10002118,208.16
81,CA-2017-127208,OFF-BI-10002309,16.74
82,CA-2015-139451,OFF-AR-10002053,14.9
83,CA-2015-139451,OFF-ST-10002370,21.39
84,CA-2016-149734,OFF-EN-10000927,200.984
85,US-2018-119662,OFF-ST-10003656,230.376
86,CA-2018-140088,FUR-CH-10000863,301.96
87,CA-2018-155558,TEC-AC-10001998,19.99
88,CA-2018-155558,OFF-LA-10000134,6.16
89,CA-2017-159695,OFF-ST-10003442,158.368
90,CA-2017-109806,OFF-AR-10004930,20.1
91,CA-2017-109806,TEC-PH-10004093,73.584
92,CA-2017-109806,OFF-PA-10000304,6.48
93,CA-2016-149587,OFF-PA-10003177,12.96
94,CA-2016-149587,FUR-FU-10003799,53.34
95,CA-2016-149587,OFF-BI-10002852,32.96
96,US-2018-109484,OFF-BI-10004738,5.682
97,CA-2018-161018,FUR-FU-10000629,96.53
98,CA-2018-157833,OFF-BI-10001721,51.312
99,CA-2017-149223,OFF-AP-10000358,77.88
100,CA-2017-158568,OFF-PA-10003256,64.624
101,CA-2017-158568,TEC-AC-10001767,95.976
102,CA-2017-158568,OFF-BI-10002609,1.788
103,CA-2017-129903,OFF-PA-10004040,23.92
104,US-2016-156867,TEC-AC-10001552,238.896
105,US-2016-156867,FUR-FU-10004006,102.36
106,US-2016-156867,OFF-BI-10002794,36.882
107,CA-2018-119004,TEC-AC-10003499,74.112
108,CA-2018-119004,TEC-PH-10002844,27.992
109,CA-2018-119004,OFF-AR-10000390,3.304
110,CA-2016-129476,TEC-AC-10000844,339.96
111,CA-2018-146780,FUR-FU-10001934,41.96
112,CA-2017-128867,OFF-AR-10000380,75.96
113,CA-2017-128867,OFF-BI-10003981,27.24
114,CA-2015-115259,OFF-FA-10000621,40.096
115,CA-2015-115259,OFF-EN-10002600,4.72
116,CA-2015-115259,OFF-PA-10004965,23.976
117,CA-2015-115259,OFF-EN-10002504,130.464
118,CA-2016-110457,FUR-TA-10001768,787.53
119,US-2016-136476,OFF-BI-10003650,157.794
120,CA-2017-103730,FUR-FU-10002157,47.04
121,CA-2017-103730,OFF-BI-10003910,30.84
122,CA-2017-103730,OFF-ST-10000777,226.56
123,CA-2017-103730,OFF-EN-10002500,115.02
124,CA-2017-103730,TEC-PH-10003875,68.04
125,US-2015-152030,FUR-CH-10004063,600.558
126,US-2015-134614,FUR-TA-10004534,617.7
127,US-2018-107272,OFF-BI-10003274,2.388
128,US-2018-107272,OFF-ST-10002974,243.992
129,US-2017-125969,FUR-CH-10001146,81.424
130,US-2017-125969,FUR-FU-10003773,238.56
131,US-2018-164147,TEC-PH-10002293,59.97
132,US-2018-164147,OFF-PA-10002377,78.304
133,US-2018-164147,OFF-FA-10002780,21.456
134,CA-2017-145583,OFF-PA-10001804,20.04
135,CA-2017-145583,OFF-PA-10001736,35.44
136,CA-2017-145583,OFF-AR-10001149,11.52
137,CA-2017-145583,OFF-FA-10002988,4.02
138,CA-2017-145583,OFF-BI-10004781,76.176
139,CA-2017-145583,OFF-SU-10001218,65.88
140,CA-2017-145583,FUR-FU-10001706,43.12
141,CA-2017-110366,FUR-FU-10004848,82.8
142,CA-2018-106180,OFF-AR-10000940,8.82
143,CA-2018-106180,OFF-EN-10004030,10.86
144,CA-2018-106180,OFF-PA-10004327,143.7
145,CA-2018-155376,OFF-AP-10001058,839.43
146,CA-2016-110744,OFF-ST-10003656,671.93
147,CA-2015-110072,FUR-FU-10000521,93.888
148,CA-2017-114489,TEC-PH-10000215,384.45
149,CA-2017-114489,TEC-PH-10001448,149.97
150,CA-2017-114489,FUR-CH-10000454,1951.84
151,CA-2017-114489,OFF-BI-10002735,171.55
152,CA-2017-158834,OFF-AP-10000326,157.92
153,CA-2017-158834,TEC-PH-10001254,203.184
154,CA-2016-124919,OFF-PA-10001950,58.38
155,CA-2016-124919,OFF-PA-10002254,105.52
156,CA-2016-124919,OFF-ST-10001590,80.88
157,CA-2016-118948,OFF-AR-10001547,6.63
158,CA-2015-104269,FUR-CH-10004063,457.568
159,CA-2017-114104,OFF-LA-10002475,14.62
160,CA-2017-114104,TEC-PH-10004536,944.93
161,CA-2017-162733,OFF-PA-10002751,5.98
162,CA-2016-119697,TEC-AC-10003657,54.384
163,CA-2017-154508,OFF-EN-10001990,28.4
164,CA-2017-113817,OFF-BI-10004002,27.68
165,CA-2015-139892,OFF-AR-10004441,9.936
166,CA-2015-139892,TEC-MA-10000822,8159.952
167,CA-2015-139892,OFF-ST-10000991,275.928
168,CA-2015-139892,FUR-CH-10004287,1740.06
169,CA-2015-139892,OFF-AR-10002656,32.064
170,CA-2015-139892,OFF-AP-10002518,177.98
171,CA-2015-139892,TEC-PH-10003931,143.976
172,CA-2015-118962,OFF-PA-10000659,20.94
173,CA-2015-118962,OFF-PA-10001144,110.96
174,CA-2015-118962,FUR-CH-10003817,340.144
175,US-2015-100853,OFF-AP-10000891,52.448
176,US-2015-100853,OFF-LA-10003148,20.16
177,US-2018-152366,OFF-AP-10002684,97.264
178,US-2016-101511,FUR-CH-10004698,396.802
179,US-2016-101511,OFF-SU-10002189,15.88
180,CA-2016-137225,OFF-AR-10001940,3.28
181,CA-2015-166191,OFF-ST-10003455,24.816
182,CA-2015-166191,TEC-AC-10004659,408.744
183,CA-2015-158274,TEC-PH-10003273,503.96
184,CA-2015-158274,TEC-PH-10004896,149.95
185,CA-2015-158274,TEC-AC-10002345,29.0
186,CA-2017-105018,OFF-BI-10001890,7.16
187,CA-2015-123260,TEC-AC-10002323,176.8
188,CA-2017-157000,OFF-ST-10001328,37.224
189,CA-2017-157000,OFF-PA-10001950,20.016
190,CA-2016-102281,FUR-BO-10002613,899.136
191,CA-2016-102281,TEC-PH-10001552,71.76
192,CA-2016-102281,OFF-PA-10000061,51.84
193,CA-2016-102281,FUR-BO-10002545,626.352
194,CA-2016-102281,OFF-AR-10003514,19.9
195,CA-2016-131457,OFF-EN-10001509,14.28
196,CA-2015-140004,OFF-AR-10004685,7.408
197,CA-2015-140004,OFF-AR-10004027,6.048
198,CA-2018-107720,OFF-ST-10001414,46.26
199,US-2018-124303,OFF-BI-10000343,2.946
200,US-2018-124303,OFF-PA-10002749,16.056
201,CA-2018-105074,OFF-PA-10002666,21.744
202,CA-2015-133690,FUR-TA-10004289,218.75
203,CA-2015-133690,OFF-AP-10003622,2.6
204,US-2018-116701,OFF-AP-10003217,66.284
205,CA-2018-126382,FUR-FU-10002960,35.168
206,CA-2018-108329,TEC-PH-10001918,444.768
207,CA-2018-135860,OFF-ST-10000642,83.92
208,CA-2018-135860,TEC-PH-10001700,131.98
209,CA-2018-135860,OFF-BI-10003274,15.92
210,CA-2018-135860,OFF-FA-10000134,52.29
211,CA-2018-135860,OFF-ST-10001522,91.99
212,CA-2016-101007,TEC-AC-10001266,20.8
213,CA-2016-146262,OFF-LA-10004544,23.68
214,CA-2016-146262,FUR-BO-10004695,452.45
215,CA-2016-146262,TEC-PH-10002844,62.982
216,CA-2016-146262,TEC-MA-10000864,1188.0
217,CA-2016-146262,TEC-AC-10000109,89.584
218,CA-2017-130162,OFF-ST-10001328,93.06
219,CA-2017-130162,TEC-PH-10002563,302.376
220,CA-2016-169397,OFF-FA-10000585,5.584
221,CA-2016-169397,OFF-PA-10004000,22.704
222,CA-2016-169397,OFF-BI-10002852,19.776
223,CA-2016-169397,FUR-FU-10000087,72.704
224,CA-2016-169397,TEC-MA-10001148,479.988
225,CA-2016-169397,OFF-AR-10001958,27.168
226,CA-2016-163055,OFF-AR-10001026,2.2
227,CA-2016-163055,FUR-TA-10003748,622.45
228,CA-2016-163055,OFF-ST-10002485,21.98
229,US-2016-145436,FUR-CH-10004860,161.568
230,US-2016-145436,FUR-CH-10004477,389.696
231,US-2015-156216,OFF-BI-10001679,18.648
232,US-2018-100930,FUR-TA-10001705,233.86
233,US-2018-100930,FUR-TA-10003473,620.6145
234,US-2018-100930,OFF-BI-10001679,5.328
235,US-2018-100930,FUR-FU-10004017,258.072
236,US-2018-100930,TEC-AC-10003832,617.976
237,CA-2018-160514,OFF-PA-10002479,10.56
238,CA-2017-157749,OFF-PA-10003349,25.92
239,CA-2017-157749,FUR-FU-10000576,419.68
240,CA-2017-157749,FUR-FU-10004351,11.688
241,CA-2017-157749,TEC-PH-10000011,31.984
242,CA-2017-157749,FUR-TA-10002607,177.225
243,CA-2017-157749,FUR-FU-10002505,4.044
244,CA-2017-157749,OFF-AR-10004685,7.408
245,CA-2015-131926,FUR-CH-10004063,2001.86
246,CA-2015-131926,OFF-ST-10002276,166.72
247,CA-2015-131926,OFF-PA-10004082,47.88
248,CA-2015-131926,OFF-AP-10002945,1503.25
249,CA-2015-131926,OFF-PA-10000061,25.92
250,CA-2017-154739,FUR-CH-10002965,321.568
251,CA-2017-145625,OFF-PA-10004569,7.61
252,CA-2017-145625,TEC-AC-10003832,3347.37
253,CA-2017-146941,OFF-ST-10001228,80.58
254,CA-2017-146941,OFF-EN-10003296,361.92
255,US-2016-159982,FUR-FU-10002505,12.132
256,US-2016-159982,OFF-ST-10004804,82.368
257,US-2016-159982,OFF-ST-10001590,53.92
258,US-2016-159982,TEC-PH-10001580,647.904
259,CA-2018-163139,TEC-AC-10000290,20.37
260,CA-2018-163139,OFF-ST-10002790,221.55
261,CA-2018-163139,OFF-BI-10003460,17.52
262,US-2018-155299,OFF-AP-10002203,1.624
263,US-2015-106992,TEC-MA-10000822,3059.982
264,US-2015-106992,TEC-MA-10003353,2519.958
265,CA-2017-125318,TEC-PH-10001433,328.224
266,CA-2016-155040,TEC-AC-10004469,79.9
267,CA-2018-136826,OFF-AR-10003602,14.016
268,CA-2017-111010,OFF-FA-10003472,7.56
269,US-2018-145366,OFF-ST-10004180,37.208
270,US-2018-145366,OFF-EN-10004386,57.576
271,CA-2018-163979,OFF-ST-10003208,725.84
272,CA-2016-155334,TEC-AC-10003628,209.93
273,CA-2016-155334,FUR-FU-10003274,5.28
274,CA-2016-155334,OFF-BI-10002557,10.92
275,CA-2018-118136,OFF-PA-10002615,8.82
276,CA-2018-118136,OFF-AR-10001427,5.98
277,CA-2018-132976,OFF-PA-10000673,11.648
278,CA-2018-132976,OFF-PA-10004470,18.176
279,CA-2018-132976,OFF-ST-10000876,59.712
280,CA-2018-132976,OFF-LA-10002043,24.84
281,US-2016-161991,OFF-BI-10004967,2.08
282,US-2016-161991,TEC-PH-10001760,1114.4
283,CA-2016-130890,FUR-TA-10002903,1038.84
284,CA-2016-130883,OFF-PA-10000474,141.76
285,CA-2016-130883,TEC-AC-10001956,239.8
286,CA-2016-130883,OFF-PA-10004100,31.104
287,CA-2017-112697,OFF-BI-10000778,254.058
288,CA-2017-112697,OFF-AP-10002684,194.528
289,CA-2017-112697,OFF-SU-10000646,961.48
290,CA-2017-110772,OFF-FA-10002983,19.096
291,CA-2017-110772,OFF-LA-10004689,18.496
292,CA-2017-110772,TEC-AC-10002001,255.984
293,CA-2017-110772,FUR-BO-10004709,86.97
294,CA-2015-111451,FUR-FU-10004091,300.416
295,CA-2015-111451,FUR-CH-10001891,230.352
296,CA-2015-111451,FUR-FU-10002918,218.352
297,CA-2015-111451,OFF-BI-10004593,78.6
298,CA-2015-111451,OFF-FA-10004854,27.552
299,CA-2017-142545,OFF-PA-10002105,32.4
300,CA-2017-142545,OFF-ST-10002756,1082.48
301,CA-2017-142545,OFF-PA-10004243,56.91
302,CA-2017-142545,FUR-FU-10001861,77.6
303,CA-2017-142545,OFF-BI-10002706,14.28
304,US-2018-152380,FUR-TA-10002533,219.075
305,CA-2016-144253,FUR-FU-10002671,26.8
306,CA-2015-130960,OFF-AR-10003651,9.84
307,CA-2015-111003,OFF-BI-10001072,45.48
308,CA-2015-111003,OFF-AR-10002135,289.2
309,CA-2018-126774,OFF-AR-10002804,4.89
310,CA-2017-142902,FUR-FU-10001918,15.136
311,CA-2017-142902,FUR-CH-10004086,466.768
312,CA-2017-142902,FUR-FU-10001756,15.232
313,CA-2017-142902,OFF-LA-10000634,6.264
314,CA-2015-120887,FUR-FU-10001588,87.54
315,CA-2015-167850,TEC-PH-10002398,178.384
316,CA-2015-167850,OFF-PA-10001937,15.552
317,CA-2015-164259,OFF-AR-10003373,99.136
318,CA-2015-164973,FUR-CH-10002602,135.882
319,CA-2015-164973,TEC-MA-10002927,3991.98
320,CA-2015-164973,TEC-PH-10004093,275.94
321,CA-2015-164973,TEC-AC-10000892,360.0
322,CA-2015-164973,OFF-ST-10002974,43.57
323,CA-2015-156601,OFF-FA-10000624,7.16
324,CA-2017-162138,OFF-BI-10004593,251.52
325,CA-2017-162138,TEC-AC-10001908,99.99
326,CA-2018-153339,FUR-FU-10001967,15.992
327,US-2017-141544,TEC-PH-10003645,290.898
328,US-2017-141544,OFF-ST-10000675,54.224
329,US-2017-141544,FUR-CH-10003312,786.744
330,US-2017-141544,OFF-LA-10001074,100.24
331,US-2017-141544,OFF-BI-10001524,37.764
332,US-2017-150147,TEC-PH-10004614,82.8
333,US-2017-150147,OFF-BI-10001153,20.724
334,US-2017-150147,OFF-BI-10001982,4.896
335,CA-2016-137946,OFF-BI-10001922,4.752
336,CA-2016-137946,TEC-CO-10001449,959.984
337,CA-2016-137946,OFF-BI-10004140,14.368
338,CA-2015-129924,OFF-BI-10003314,7.712
339,CA-2015-129924,FUR-TA-10004575,698.352
340,CA-2016-128167,OFF-FA-10000490,4.96
341,CA-2015-122336,OFF-AR-10000122,17.856
342,CA-2015-122336,OFF-BI-10003656,509.97
343,CA-2015-122336,OFF-FA-10002780,30.992
344,CA-2015-122336,TEC-PH-10000702,71.928
345,US-2016-120712,OFF-ST-10000107,88.8
346,CA-2018-169901,TEC-PH-10002293,47.976
347,CA-2018-134306,OFF-AR-10004027,7.56
348,CA-2018-134306,OFF-PA-10000249,24.56
349,CA-2018-134306,OFF-AR-10001374,12.96
350,CA-2017-129714,TEC-AC-10000290,6.79
351,CA-2017-129714,OFF-PA-10001970,24.56
352,CA-2017-129714,OFF-BI-10002160,3.048
353,CA-2017-129714,OFF-PA-10001970,49.12
354,CA-2017-129714,OFF-BI-10004995,4355.168
355,CA-2017-138520,FUR-BO-10002268,388.704
356,CA-2017-138520,OFF-EN-10001137,8.26
357,CA-2017-138520,OFF-AR-10002399,17.04
358,CA-2017-138520,OFF-PA-10002713,34.4
359,CA-2017-130001,OFF-PA-10002666,36.24
360,CA-2018-155698,OFF-AP-10001124,647.84
361,CA-2018-155698,OFF-LA-10001158,20.7
362,CA-2018-144904,OFF-LA-10001158,20.7
363,CA-2018-144904,FUR-CH-10000785,488.646
364,CA-2018-144904,OFF-AR-10003732,5.56
365,CA-2018-144904,FUR-FU-10000023,47.12
366,CA-2015-123344,OFF-ST-10001713,211.96
367,CA-2017-155516,OFF-BI-10002412,23.2
368,CA-2017-155516,OFF-SU-10001225,7.36
369,CA-2017-155516,OFF-ST-10002406,104.79
370,CA-2017-155516,FUR-BO-10002545,1043.92
371,CA-2018-104745,OFF-PA-10002036,25.92
372,CA-2018-104745,OFF-ST-10002205,53.424
373,US-2015-119137,OFF-BI-10001982,8.16
374,US-2015-119137,TEC-AC-10003911,1023.936
375,US-2015-119137,OFF-AR-10000658,9.24
376,US-2015-119137,TEC-AC-10002076,479.04
377,US-2017-134656,OFF-PA-10003039,99.136
378,US-2018-134481,FUR-TA-10004915,1488.424
379,CA-2016-130792,OFF-AP-10000696,8.652
380,CA-2016-130792,OFF-ST-10003327,23.832
381,CA-2016-130792,OFF-BI-10000309,12.176
382,CA-2017-134775,OFF-PA-10004734,50.96
383,CA-2017-134775,OFF-BI-10002225,49.536
384,CA-2016-125395,TEC-AC-10004708,41.9
385,US-2016-168935,FUR-TA-10000617,375.4575
386,US-2016-168935,TEC-AC-10002335,83.976
387,CA-2016-122756,TEC-MA-10001681,482.34
388,CA-2016-122756,FUR-FU-10001935,2.96
389,CA-2015-115973,OFF-AR-10004757,2.624
390,CA-2018-101798,OFF-BI-10000050,23.36
391,CA-2018-101798,TEC-AC-10001998,39.98
392,US-2015-135972,TEC-PH-10003012,246.384
393,US-2015-135972,TEC-CO-10002313,1799.97
394,US-2015-134971,OFF-BI-10003982,12.462
395,CA-2018-102946,OFF-BI-10004492,75.792
396,CA-2018-165603,OFF-ST-10000798,49.96
397,CA-2018-165603,OFF-PA-10002552,12.96
398,CA-2016-122259,OFF-SU-10002573,70.12
399,CA-2017-108987,OFF-ST-10001580,35.952
400,CA-2017-108987,FUR-BO-10004834,2396.2656
401,CA-2017-108987,OFF-ST-10000934,131.136
402,CA-2017-108987,TEC-AC-10000158,57.584
403,CA-2015-113166,OFF-PA-10001947,9.568
404,CA-2015-155208,OFF-AR-10003478,39.072
405,CA-2018-117933,OFF-AP-10004249,35.91
406,CA-2018-117457,TEC-AC-10000158,179.95
407,CA-2018-117457,TEC-CO-10004115,1199.976
408,CA-2018-117457,OFF-PA-10003724,27.15
409,CA-2018-117457,FUR-TA-10002041,1004.024
410,CA-2018-117457,OFF-PA-10002893,9.68
411,CA-2018-117457,OFF-LA-10003766,28.35
412,CA-2018-117457,OFF-PA-10001970,55.98
413,CA-2018-117457,FUR-BO-10001972,1336.829
414,CA-2018-117457,FUR-CH-10003956,113.568
415,CA-2018-142636,OFF-PA-10000157,139.86
416,CA-2018-142636,FUR-CH-10001891,307.136
417,CA-2018-122105,OFF-AR-10004344,95.92
418,CA-2017-148796,FUR-CH-10004886,383.8
419,CA-2018-154816,OFF-PA-10003845,5.78
420,CA-2018-110478,OFF-AR-10001573,9.32
421,CA-2018-110478,OFF-EN-10000483,15.25
422,CA-2015-142048,TEC-AC-10004114,196.752
423,CA-2018-125388,FUR-FU-10004712,56.56
424,CA-2018-125388,OFF-ST-10000918,32.7
425,CA-2018-155705,FUR-CH-10000015,866.4
426,CA-2018-149160,FUR-FU-10003347,28.4
427,CA-2018-149160,OFF-BI-10001543,287.92
428,CA-2015-101476,TEC-MA-10000029,69.99
429,CA-2018-152275,OFF-AR-10000369,6.672
430,US-2017-123750,OFF-BI-10004584,189.588
431,US-2017-123750,TEC-AC-10004659,408.744
432,US-2017-123750,TEC-AC-10004659,291.96
433,US-2017-123750,OFF-ST-10000617,4.768
434,CA-2017-127369,OFF-ST-10003306,714.3
435,US-2015-150574,OFF-BI-10000773,4.812
436,US-2015-150574,TEC-AC-10002600,247.8
437,CA-2017-147375,TEC-MA-10002937,1007.979
438,CA-2017-147375,OFF-PA-10001970,313.488
439,CA-2018-130043,OFF-PA-10002230,31.872
440,CA-2018-157252,FUR-CH-10003396,207.846
441,CA-2017-115756,FUR-FU-10000246,12.22
442,CA-2017-115756,OFF-ST-10000060,194.94
443,CA-2017-115756,OFF-ST-10003058,70.95
444,CA-2017-115756,OFF-PA-10002222,91.36
445,CA-2017-115756,FUR-CH-10002372,242.94
446,CA-2017-115756,OFF-LA-10001317,22.05
447,CA-2018-154214,FUR-FU-10000206,2.91
448,CA-2017-166674,OFF-AR-10000588,59.52
449,CA-2017-166674,OFF-ST-10001469,161.94
450,CA-2017-166674,OFF-AR-10001953,263.88
451,CA-2017-166674,OFF-AR-10003156,30.48
452,CA-2017-166674,OFF-AR-10004974,9.84
453,CA-2017-166674,TEC-PH-10002365,35.12
454,CA-2018-147277,FUR-TA-10001539,284.364
455,CA-2018-147277,OFF-ST-10000142,665.408
456,CA-2017-100153,TEC-AC-10001772,63.88
457,US-2015-110674,FUR-CH-10000225,129.568
458,US-2017-157945,FUR-CH-10002331,747.558
459,US-2017-157945,OFF-EN-10001415,8.928
460,CA-2016-109638,OFF-AP-10002472,103.92
461,CA-2016-109638,TEC-AC-10004571,899.91
462,CA-2016-109638,OFF-BI-10001098,51.312
463,CA-2017-109869,FUR-FU-10000023,23.56
464,CA-2017-109869,FUR-TA-10001889,1272.63
465,CA-2017-109869,OFF-BI-10000315,28.485
466,CA-2017-109869,OFF-SU-10003505,185.376
467,CA-2017-109869,OFF-AP-10002578,78.272
468,US-2016-101399,FUR-FU-10002918,254.744
469,CA-2018-154907,FUR-BO-10002824,205.3328
470,US-2017-100419,OFF-BI-10002194,4.788
471,CA-2016-154144,OFF-PA-10004071,55.48
472,CA-2015-144666,OFF-ST-10002743,340.92
473,CA-2015-144666,FUR-BO-10001601,222.666
474,CA-2015-144666,TEC-PH-10002680,703.968
475,CA-2015-144666,OFF-ST-10001321,92.52
476,CA-2015-144666,OFF-PA-10001509,62.65
477,CA-2015-144666,OFF-PA-10003465,94.85
478,CA-2017-103891,TEC-PH-10000149,95.76
479,CA-2017-152632,FUR-FU-10002671,40.2
480,CA-2017-100790,OFF-AR-10003045,14.7
481,CA-2017-100790,OFF-ST-10000689,704.25
482,CA-2015-134677,TEC-AC-10001445,9.09
483,CA-2015-127691,OFF-AR-10002053,5.96
484,CA-2015-127691,TEC-AC-10002567,159.98
485,CA-2018-140963,OFF-LA-10003923,29.6
486,CA-2018-140963,FUR-BO-10001337,514.165
487,CA-2018-140963,TEC-PH-10001924,279.96
488,CA-2015-154627,TEC-PH-10001363,2735.952
489,CA-2015-133753,TEC-PH-10000376,7.992
490,CA-2015-133753,TEC-AC-10000303,63.984
491,CA-2015-133753,OFF-AR-10001953,70.368
492,CA-2015-113362,OFF-ST-10001809,449.15
493,CA-2015-113362,OFF-EN-10003845,11.07
494,CA-2017-169166,TEC-AC-10000991,93.98
495,US-2017-120929,FUR-TA-10001857,189.882
496,CA-2016-134782,OFF-EN-10001434,105.42
497,CA-2017-126158,OFF-BI-10002498,119.616
498,CA-2017-126158,FUR-FU-10004864,255.76
499,CA-2017-126158,FUR-CH-10002602,241.568
