Order_ID,Order_Date,Ship_Date,Ship_Mode_ID,Customer_ID,Postal_Code
CA-2017-152156,2017-11-08 00:00:00,2017-11-11 00:00:00,1,CG-12520,42420.0
CA-2017-138688,2017-06-12 00:00:00,2017-06-16 00:00:00,1,DV-13045,90036.0
US-2016-108966,2016-10-11 00:00:00,2016-10-18 00:00:00,2,SO-20335,33311.0
CA-2015-115812,2015-06-09 00:00:00,2015-06-14 00:00:00,2,BH-11710,90032.0
CA-2018-114412,2018-04-15 00:00:00,2018-04-20 00:00:00,2,AA-10480,28027.0
CA-2017-161389,2017-12-05 00:00:00,2017-12-10 00:00:00,2,IM-15070,98103.0
US-2016-118983,2016-11-22 00:00:00,2016-11-26 00:00:00,2,HP-14815,76106.0
CA-2015-105893,2015-11-11 00:00:00,2015-11-18 00:00:00,2,PK-19075,53711.0
CA-2015-167164,2015-05-13 00:00:00,2015-05-15 00:00:00,1,AG-10270,84084.0
CA-2015-143336,2015-08-27 00:00:00,2015-09-01 00:00:00,1,ZD-21925,94109.0
CA-2017-137330,2017-12-09 00:00:00,2017-12-13 00:00:00,2,KB-16585,68025.0
US-2018-156909,2018-07-16 00:00:00,2018-07-18 00:00:00,1,SF-20065,19140.0
CA-2016-106320,2016-09-25 00:00:00,2016-09-30 00:00:00,2,EB-13870,84057.0
CA-2017-121755,2017-01-16 00:00:00,2017-01-20 00:00:00,1,EH-13945,90049.0
US-2016-150630,2016-09-17 00:00:00,2016-09-21 00:00:00,2,TB-21520,19140.0
CA-2018-107727,2018-10-19 00:00:00,2018-10-23 00:00:00,1,MA-17560,77095.0
CA-2017-117590,2017-12-08 00:00:00,2017-12-10 00:00:00,3,GH-14485,75080.0
CA-2016-117415,2016-12-27 00:00:00,2016-12-31 00:00:00,2,SN-20710,77041.0
CA-2018-120999,2018-09-10 00:00:00,2018-09-15 00:00:00,2,LC-16930,60540.0
CA-2017-101343,2017-07-17 00:00:00,2017-07-22 00:00:00,2,RA-19885,90049.0
CA-2018-139619,2018-09-19 00:00:00,2018-09-23 00:00:00,2,ES-14080,32935.0
CA-2017-118255,2017-03-11 00:00:00,2017-03-13 00:00:00,3,ON-18715,55122.0
CA-2015-146703,2015-10-20 00:00:00,2015-10-25 00:00:00,1,PO-18865,48185.0
CA-2017-169194,2017-06-20 00:00:00,2017-06-25 00:00:00,2,LH-16900,19901.0
CA-2016-115742,2016-04-18 00:00:00,2016-04-22 00:00:00,2,DP-13000,47150.0
CA-2017-105816,2017-12-11 00:00:00,2017-12-17 00:00:00,2,JM-15265,10024.0
CA-2017-111682,2017-06-17 00:00:00,2017-06-18 00:00:00,3,TB-21055,12180.0
CA-2016-135545,2016-11-24 00:00:00,2016-11-30 00:00:00,2,KM-16720,90004.0
US-2016-164175,2016-04-30 00:00:00,2016-05-05 00:00:00,2,PS-18970,60610.0
CA-2015-106376,2015-12-05 00:00:00,2015-12-10 00:00:00,2,BS-11590,85234.0
CA-2017-119823,2017-06-04 00:00:00,2017-06-06 00:00:00,3,KD-16270,22153.0
CA-2017-106075,2017-09-18 00:00:00,2017-09-23 00:00:00,2,HM-14980,10009.0
CA-2018-114440,2018-09-14 00:00:00,2018-09-17 00:00:00,1,TB-21520,49201.0
US-2016-134026,2016-04-26 00:00:00,2016-05-02 00:00:00,2,JE-15745,38109.0
US-2018-118038,2018-12-09 00:00:00,2018-12-11 00:00:00,3,KB-16600,77041.0
US-2015-147606,2015-11-26 00:00:00,2015-12-01 00:00:00,1,JE-15745,77070.0
CA-2017-127208,2017-06-12 00:00:00,2017-06-15 00:00:00,3,SC-20770,35601.0
CA-2015-139451,2015-10-12 00:00:00,2015-10-16 00:00:00,2,DN-13690,94122.0
CA-2016-149734,2016-09-03 00:00:00,2016-09-08 00:00:00,2,JC-16105,27707.0
US-2018-119662,2018-11-13 00:00:00,2018-11-16 00:00:00,3,CS-12400,60623.0
CA-2018-140088,2018-05-28 00:00:00,2018-05-30 00:00:00,1,PO-18865,29203.0
CA-2018-155558,2018-10-26 00:00:00,2018-11-02 00:00:00,2,PG-18895,55901.0
CA-2017-159695,2017-04-05 00:00:00,2017-04-10 00:00:00,1,GM-14455,77095.0
CA-2017-109806,2017-09-17 00:00:00,2017-09-22 00:00:00,2,JS-15685,90036.0
CA-2016-149587,2016-01-31 00:00:00,2016-02-05 00:00:00,1,KB-16315,55407.0
US-2018-109484,2018-11-06 00:00:00,2018-11-12 00:00:00,2,RB-19705,97206.0
CA-2018-161018,2018-11-09 00:00:00,2018-11-11 00:00:00,1,PN-18775,10009.0
CA-2018-157833,2018-06-17 00:00:00,2018-06-20 00:00:00,3,KD-16345,94122.0
CA-2017-149223,2017-09-06 00:00:00,2017-09-11 00:00:00,2,ER-13855,55106.0
CA-2017-158568,2017-08-29 00:00:00,2017-09-02 00:00:00,2,RB-19465,60610.0
CA-2017-129903,2017-12-01 00:00:00,2017-12-04 00:00:00,1,GZ-14470,55901.0
US-2016-156867,2016-11-13 00:00:00,2016-11-17 00:00:00,2,LC-16870,80013.0
CA-2018-119004,2018-11-23 00:00:00,2018-11-28 00:00:00,2,JM-15250,28205.0
CA-2016-129476,2016-10-15 00:00:00,2016-10-20 00:00:00,2,PA-19060,60462.0
CA-2018-146780,2018-12-25 00:00:00,2018-12-30 00:00:00,2,CV-12805,10035.0
CA-2017-128867,2017-11-03 00:00:00,2017-11-10 00:00:00,2,CL-12565,50322.0
CA-2015-115259,2015-08-25 00:00:00,2015-08-27 00:00:00,1,RC-19960,43229.0
CA-2016-110457,2016-03-02 00:00:00,2016-03-06 00:00:00,2,DK-13090,98103.0
US-2016-136476,2016-04-05 00:00:00,2016-04-10 00:00:00,2,GG-14650,37620.0
CA-2017-103730,2017-06-12 00:00:00,2017-06-15 00:00:00,3,SC-20725,19805.0
US-2015-152030,2015-12-26 00:00:00,2015-12-28 00:00:00,1,AD-10180,77041.0
US-2015-134614,2015-09-20 00:00:00,2015-09-25 00:00:00,2,PF-19165,61701.0
US-2018-107272,2018-11-05 00:00:00,2018-11-12 00:00:00,2,TS-21610,85023.0
US-2017-125969,2017-11-06 00:00:00,2017-11-10 00:00:00,1,LS-16975,90004.0
US-2018-164147,2018-02-02 00:00:00,2018-02-05 00:00:00,3,DW-13585,43229.0
CA-2017-145583,2017-10-13 00:00:00,2017-10-19 00:00:00,2,LC-16885,95661.0
CA-2017-110366,2017-09-05 00:00:00,2017-09-07 00:00:00,1,JD-15895,19140.0
CA-2018-106180,2018-09-18 00:00:00,2018-09-23 00:00:00,2,SH-19975,94122.0
CA-2018-155376,2018-12-22 00:00:00,2018-12-27 00:00:00,2,SG-20080,64055.0
CA-2016-110744,2016-09-07 00:00:00,2016-09-12 00:00:00,2,HA-14920,91104.0
CA-2015-110072,2015-10-22 00:00:00,2015-10-28 00:00:00,2,MG-17680,43055.0
CA-2017-114489,2017-12-05 00:00:00,2017-12-09 00:00:00,2,JE-16165,53132.0
CA-2017-158834,2017-03-13 00:00:00,2017-03-16 00:00:00,3,TW-21025,85254.0
CA-2016-124919,2016-05-31 00:00:00,2016-06-02 00:00:00,3,SP-20650,95123.0
CA-2016-118948,2016-05-28 00:00:00,2016-06-03 00:00:00,2,NK-18490,98105.0
CA-2015-104269,2015-03-01 00:00:00,2015-03-06 00:00:00,1,DB-13060,98115.0
CA-2017-114104,2017-11-20 00:00:00,2017-11-24 00:00:00,2,NP-18670,73034.0
CA-2017-162733,2017-05-11 00:00:00,2017-05-12 00:00:00,3,TT-21070,90045.0
CA-2016-119697,2016-12-28 00:00:00,2016-12-31 00:00:00,1,EM-13960,19134.0
CA-2017-154508,2017-11-16 00:00:00,2017-11-20 00:00:00,2,RD-19900,88220.0
CA-2017-113817,2017-11-07 00:00:00,2017-11-11 00:00:00,2,MJ-17740,98115.0
CA-2015-139892,2015-09-08 00:00:00,2015-09-12 00:00:00,2,BM-11140,78207.0
CA-2015-118962,2015-08-05 00:00:00,2015-08-09 00:00:00,2,CS-12130,90004.0
US-2015-100853,2015-09-14 00:00:00,2015-09-19 00:00:00,2,JB-15400,60623.0
US-2018-152366,2018-04-21 00:00:00,2018-04-25 00:00:00,1,SJ-20500,77036.0
US-2016-101511,2016-11-21 00:00:00,2016-11-23 00:00:00,1,JE-15745,43055.0
CA-2016-137225,2016-12-15 00:00:00,2016-12-19 00:00:00,2,JK-15640,10009.0
CA-2015-166191,2015-12-05 00:00:00,2015-12-09 00:00:00,1,DK-13150,62521.0
CA-2015-158274,2015-11-19 00:00:00,2015-11-24 00:00:00,1,RM-19675,71203.0
CA-2017-105018,2017-11-28 00:00:00,2017-12-02 00:00:00,2,SK-19990,6824.0
CA-2015-123260,2015-08-26 00:00:00,2015-08-30 00:00:00,2,FM-14290,90032.0
