Order_Detail_ID,Order_ID,Product_ID,Sales,Sales_Category,High_Value_Sale
1,CA-2017-152156,FUR-BO-10001798,261.96,Medium,No
2,CA-2017-152156,FUR-CH-10000454,731.94,High,Yes
3,CA-2017-138688,OFF-LA-10000240,14.62,Low,No
4,US-2016-108966,FUR-TA-10000577,957.5775,High,Yes
5,US-2016-108966,OFF-ST-10000760,22.368,Low,No
6,CA-2015-115812,FUR-FU-10001487,48.86,Low,No
7,CA-2015-115812,OFF-AR-10002833,7.28,Low,No
8,CA-2015-115812,TEC-PH-10002275,907.152,High,Yes
9,CA-2015-115812,OFF-BI-10003910,18.504,Low,No
10,CA-2015-115812,OFF-AP-10002892,114.9,Medium,No
11,CA-2015-115812,FUR-TA-10001539,1706.184,High,Yes
12,CA-2015-115812,TEC-PH-10002033,911.424,High,Yes
13,CA-2018-114412,OFF-PA-10002365,15.552,Low,No
14,CA-2017-161389,OFF-BI-10003656,407.976,Medium,No
15,US-2016-118983,OFF-AP-10002311,68.81,Low,No
16,US-2016-118983,OFF-BI-10000756,2.544,Low,No
17,CA-2015-105893,OFF-ST-10004186,665.88,High,Yes
18,CA-2015-167164,OFF-ST-10000107,55.5,Low,No
19,CA-2015-143336,OFF-AR-10003056,8.56,Low,No
20,CA-2015-143336,TEC-PH-10001949,213.48,Medium,No
21,CA-2015-143336,OFF-BI-10002215,22.72,Low,No
22,CA-2017-137330,OFF-AR-10000246,19.46,Low,No
23,CA-2017-137330,OFF-AP-10001492,60.34,Low,No
24,US-2018-156909,FUR-CH-10002774,71.372,Low,No
25,CA-2016-106320,FUR-TA-10000577,1044.63,High,Yes
26,CA-2017-121755,OFF-BI-10001634,11.648,Low,No
27,CA-2017-121755,TEC-AC-10003027,90.57,Low,No
28,US-2016-150630,FUR-BO-10004834,3083.43,High,Yes
29,US-2016-150630,OFF-BI-10000474,9.618,Low,No
30,US-2016-150630,FUR-FU-10004848,124.2,Medium,No
31,US-2016-150630,OFF-EN-10001509,3.264,Low,No
32,US-2016-150630,OFF-AR-10004042,86.304,Low,No
33,US-2016-150630,OFF-BI-10001525,6.858,Low,No
34,US-2016-150630,OFF-AR-10001683,15.76,Low,No
35,CA-2018-107727,OFF-PA-10000249,29.472,Low,No
36,CA-2017-117590,TEC-PH-10004977,1097.544,High,Yes
