Product_ID,Sub_Category_ID,Product_Name,Product ID_x,Product_Total_Sales,Product ID_y,Product_Order_Count
FUR-BO-10001798,1,Bush Somerset Collection Bookcase,FUR-BO-10001798,1263.9569999999999,FUR-BO-10001798,4
FUR-CH-10000454,2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,10637.528,FUR-CH-10000454,12
OFF-LA-10000240,3,Self-Adhesive Address Labels for Typewriters by Universal,OFF-LA-10000240,153.51,OFF-LA-10000240,7
FUR-TA-10000577,4,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,7242.768,FUR-TA-10000577,8
OFF-ST-10000760,5,Eldon Fold 'N Roll Cart System,OFF-ST-10000760,301.96799999999996,OFF-ST-10000760,5
FUR-FU-10001487,6,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487,160.54000000000002,FUR-FU-10001487,5
OFF-AR-10002833,7,Newell 322,OFF-AR-10002833,30.576,OFF-AR-10002833,6
TEC-PH-10002275,8,Mitel 5320 IP Phone VoIP phone,TEC-PH-10002275,2116.688,TEC-PH-10002275,4
OFF-BI-10003910,9,DXL Angle-View Binders with Locking Rings by Samsill,OFF-BI-10003910,215.109,OFF-BI-10003910,10
OFF-AP-10002892,10,Belkin F5C206VTEL 6 Outlet Surge,OFF-AP-10002892,464.196,OFF-AP-10002892,7
FUR-TA-10001539,4,Chromcraft Rectangular Conference Tables,FUR-TA-10001539,4952.673,FUR-TA-10001539,9
TEC-PH-10002033,8,Konftel 250 Conference phone - Charcoal black,TEC-PH-10002033,2221.596,TEC-PH-10002033,4
OFF-PA-10002365,11,Xerox 1967,OFF-PA-10002365,89.424,OFF-PA-10002365,5
OFF-BI-10003656,9,Fellowes PB200 Plastic Comb Binding Machine,OFF-BI-10003656,3093.818,OFF-BI-10003656,8
OFF-AP-10002311,10,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",OFF-AP-10002311,1383.0810000000001,OFF-AP-10002311,10
OFF-BI-10000756,9,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI-10000756,94.128,OFF-BI-10000756,8
OFF-ST-10004186,5,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",OFF-ST-10004186,2552.54,OFF-ST-10004186,5
OFF-ST-10000107,5,Fellowes Super Stor/Drawer,OFF-ST-10000107,477.3,OFF-ST-10000107,4
OFF-AR-10003056,7,Newell 341,OFF-AR-10003056,96.72800000000001,OFF-AR-10003056,7
TEC-PH-10001949,8,Cisco SPA 501G IP Phone,TEC-PH-10001949,213.48,TEC-PH-10001949,1
OFF-BI-10002215,9,"Wilson Jones Hanging View Binder, White, 1""",OFF-BI-10002215,143.42,OFF-BI-10002215,7
OFF-AR-10000246,7,Newell 318,OFF-AR-10000246,61.716,OFF-AR-10000246,5
OFF-AP-10001492,10,"Acco Six-Outlet Power Strip, 4' Cord Length",OFF-AP-10001492,299.976,OFF-AP-10001492,8
FUR-CH-10002774,2,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774,764.7,FUR-CH-10002774,7
OFF-BI-10001634,9,Wilson Jones Active Use Binders,OFF-BI-10001634,115.024,OFF-BI-10001634,6
TEC-AC-10003027,12,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,TEC-AC-10003027,350.20399999999995,TEC-AC-10003027,3
FUR-BO-10004834,1,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834,11206.0656,FUR-BO-10004834,4
OFF-BI-10000474,9,Avery Recycled Flexi-View Covers for Binding Systems,OFF-BI-10000474,197.169,OFF-BI-10000474,7
FUR-FU-10004848,6,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",FUR-FU-10004848,1438.132,FUR-FU-10004848,12
OFF-EN-10001509,13,Poly String Tie Envelopes,OFF-EN-10001509,66.096,OFF-EN-10001509,10
OFF-AR-10004042,7,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",OFF-AR-10004042,496.248,OFF-AR-10004042,6
OFF-BI-10001525,9,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",OFF-BI-10001525,63.627,OFF-BI-10001525,8
OFF-AR-10001683,7,Lumber Crayons,OFF-AR-10001683,171.39,OFF-AR-10001683,6
OFF-PA-10000249,11,Easy-staple paper,OFF-PA-10000249,196.48,OFF-PA-10000249,6
TEC-PH-10004977,8,GE 30524EE4,TEC-PH-10004977,5291.7300000000005,TEC-PH-10004977,9
FUR-FU-10003664,6,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664,2863.8,FUR-FU-10003664,4
OFF-EN-10002986,13,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",OFF-EN-10002986,176.288,OFF-EN-10002986,2
FUR-BO-10002545,1,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545,7539.7122,FUR-BO-10002545,8
FUR-CH-10004218,2,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218,2908.224,FUR-CH-10004218,8
